country,continent,GDP_cap_max
Albania,Europe,5937.029526
Austria,Europe,36126.4927
Belgium,Europe,33692.60508
Bosnia and Herzegovina,Europe,7446.298803
Bulgaria,Europe,10680.79282
Croatia,Europe,14619.22272
Czech Republic,Europe,22833.30851
Denmark,Europe,35278.41874
Finland,Europe,33207.0844
France,Europe,30470.0167
Germany,Europe,32170.37442
Greece,Europe,27538.41188
Hungary,Europe,18008.94444
Iceland,Europe,36180.78919
Ireland,Europe,40675.99635
Italy,Europe,28569.7197
Montenegro,Europe,11732.51017
Netherlands,Europe,36797.93332
Norway,Europe,49357.19017
Poland,Europe,15389.92468
Portugal,Europe,20509.64777
Romania,Europe,10808.47561
Serbia,Europe,15870.87851
Slovak Republic,Europe,18678.31435
Slovenia,Europe,25768.25759
Spain,Europe,28821.0637
Sweden,Europe,33859.74835
Switzerland,Europe,37506.41907
Turkey,Europe,8458.276384
United Kingdom,Europe,33203.26128
